"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Christian McCaffrey","SF","RB1","262.0","1,251.2","11.5","69.6","570.4","5.4","1.6","280.6"
"Breece Hall","NYJ","RB2","233.1","1,019.7","8.4","72.7","608.5","5.8","1.1","245.5"
"Saquon Barkley","PHI","RB3","266.1","1,119.2","10.9","48.9","373.4","4.2","1.5","236.9"
"Bijan Robinson","ATL","RB4","211.1","988.2","6.1","65.3","574.1","6.1","2.3","225.0"
"Kyren Williams","LAR","RB5","252.4","1,169.5","11.3","34.8","258.3","2.4","1.6","221.6"
"CeeDee Lamb","DAL","WR1","12.3","84.4","0.9","118.4","1,528.0","9.4","1.1","220.9"
"Jonathan Taylor","IND","RB6","269.5","1,220.5","10.3","36.6","288.6","1.7","1.1","220.7"
"Derrick Henry","BAL","RB7","258.2","1,182.3","11.8","26.1","226.4","0.6","0.9","213.2"
"Tyreek Hill","MIA","WR2","5.1","24.4","0.1","106.7","1,483.9","9.3","0.9","205.2"
"Josh Jacobs","GB","RB8","267.8","1,075.4","9.5","35.9","287.2","0.7","1.1","194.9"
"Joe Mixon","HOU","RB9","244.6","940.0","8.6","42.7","329.0","2.9","0.8","194.5"
"Isiah Pacheco","KC","RB10","226.2","999.8","9.6","44.8","274.7","2.0","1.6","193.8"
"De'Von Achane","MIA","RB11","160.2","867.7","7.9","44.9","352.2","3.7","0.9","190.3"
"Travis Etienne Jr.","JAC","RB12","236.1","931.1","9.0","48.3","384.8","1.1","0.9","190.1"
"Ja'Marr Chase","CIN","WR3","3.8","11.1","0.1","102.8","1,327.9","9.2","0.5","188.6"
"Amon-Ra St. Brown","DET","WR4","4.8","31.7","0.1","110.8","1,337.4","8.7","0.9","188.2"
"Justin Jefferson","MIN","WR5","2.5","3.7","0.1","105.8","1,467.1","7.0","1.0","187.6"
"James Cook","BUF","RB13","239.3","1,063.4","4.7","44.9","388.6","2.7","1.6","186.1"
"Jahmyr Gibbs","DET","RB14","181.8","860.0","8.6","56.8","397.1","1.7","1.6","184.4"
"Rachaad White","TB","RB15","218.9","869.2","7.2","53.7","421.9","2.4","1.6","183.4"
"Kenneth Walker III","SEA","RB16","226.5","935.3","10.2","30.0","237.4","0.9","0.9","182.4"
"Puka Nacua","LAR","WR6","11.7","75.5","0.3","94.4","1,344.4","6.5","0.5","181.7"
"A.J. Brown","PHI","WR7","0.0","0.5","0.0","90.9","1,312.1","8.5","1.5","179.5"
"Alvin Kamara","NO","RB17","191.9","761.2","6.0","72.1","513.9","1.9","0.9","173.1"
"Raheem Mostert","MIA","RB18","175.1","817.4","9.9","25.6","175.6","2.1","1.0","169.4"
"Deebo Samuel Sr.","SF","WR8","35.9","193.8","3.4","64.1","954.8","5.8","0.9","168.2"
"Mike Evans","TB","WR9","0.0","0.5","0.0","73.5","1,126.1","9.2","0.2","167.7"
"David Montgomery","DET","RB19","208.1","891.6","9.8","22.9","172.8","0.4","0.9","165.6"
"Garrett Wilson","NYJ","WR10","4.2","12.3","0.1","90.5","1,173.0","8.1","1.5","164.8"
"James Conner","ARI","RB20","195.4","888.2","6.9","35.1","236.7","2.0","0.8","164.3"
"Aaron Jones","MIN","RB21","176.9","839.9","5.5","48.7","373.1","2.0","1.0","163.8"
"Nico Collins","HOU","WR11","1.0","4.0","0.0","76.3","1,143.2","8.3","0.3","163.6"
"Davante Adams","LV","WR12","0.0","0.0","0.0","94.6","1,194.8","7.1","0.3","161.6"
"Chris Olave","NO","WR13","0.0","0.0","0.0","87.3","1,221.2","6.5","0.3","160.4"
"DK Metcalf","SEA","WR14","0.0","0.5","0.0","68.7","1,052.3","9.1","0.3","159.3"
"Marvin Harrison Jr.","ARI","WR15","1.0","5.5","0.0","88.3","1,209.1","6.8","1.7","158.8"
"DJ Moore","CHI","WR16","3.0","17.3","0.5","77.6","1,081.2","7.9","0.8","158.7"
"Zamir White","LV","RB22","231.0","1,050.2","5.0","34.2","238.9","0.4","1.5","158.4"
"Tee Higgins","CIN","WR17","0.0","0.0","0.0","70.9","1,059.9","8.6","0.3","157.2"
"Nick Chubb","CLE","RB23","211.5","956.9","6.0","27.6","224.0","0.8","0.8","157.0"
"Najee Harris","PIT","RB24","228.1","926.1","6.9","28.0","175.9","1.1","0.9","156.6"
"Brandon Aiyuk","SF","WR18","0.5","2.0","0.0","72.5","1,134.9","7.4","0.8","156.4"
"Brian Robinson Jr.","WAS","RB25","188.9","787.8","5.4","31.6","286.5","2.6","1.7","151.7"
"D'Andre Swift","CHI","RB26","190.1","870.2","4.5","39.4","266.6","1.7","1.0","149.1"
"Drake London","ATL","WR19","0.0","0.0","0.0","84.4","1,123.4","6.4","0.9","149.1"
"DeVonta Smith","PHI","WR20","0.0","0.0","0.0","80.3","1,064.3","7.2","0.9","148.0"
"Tank Dell","HOU","WR21","15.0","77.1","0.3","66.5","920.1","7.9","0.5","147.9"
"Amari Cooper","CLE","WR22","0.0","0.0","0.0","71.7","1,118.6","6.2","0.9","147.4"
"Zack Moss","CIN","RB27","174.3","758.8","6.4","32.0","220.6","2.0","0.8","146.6"
"Hollywood Brown","KC","WR23","2.1","16.2","0.0","70.1","928.8","8.7","0.2","146.6"
"Stefon Diggs","HOU","WR24","1.5","7.9","0.0","87.7","1,081.5","6.4","1.0","145.4"
"Calvin Ridley","TEN","WR25","5.7","19.5","0.1","68.0","955.2","7.9","0.3","144.7"
"Rhamondre Stevenson","NE","RB28","194.3","783.9","5.5","46.0","318.4","0.5","1.0","144.1"
"Jonathon Brooks","CAR","RB29","196.4","840.2","5.7","28.8","227.5","1.1","1.9","143.7"
"Cooper Kupp","LAR","WR26","2.5","11.0","0.1","81.7","1,021.9","6.8","0.3","143.5"
"Travis Kelce","KC","TE1","0.0","0.0","0.0","92.6","998.9","7.5","0.7","143.4"
"Zay Flowers","BAL","WR27","9.0","53.7","0.8","78.7","967.1","6.3","0.9","142.7"
"Jaylen Waddle","MIA","WR28","4.1","23.4","0.1","78.6","1,077.8","5.3","0.3","142.0"
"Austin Ekeler","WAS","RB30","126.7","525.8","5.7","49.9","432.5","2.6","2.0","141.5"
"J.K. Dobbins","LAC","RB31","145.3","669.3","5.0","33.7","258.9","3.1","0.9","140.0"
"Mark Andrews","BAL","TE2","0.0","0.0","0.0","71.3","861.2","9.1","0.3","139.9"
"Tony Pollard","TEN","RB32","196.2","809.8","5.7","33.8","219.3","0.5","0.9","138.3"
"George Pickens","PIT","WR29","3.8","27.8","0.1","61.4","1,024.8","5.7","0.9","138.2"
"Christian Watson","GB","WR30","6.2","33.0","0.7","51.3","784.6","8.8","0.3","138.0"
"DeAndre Hopkins","TEN","WR31","0.5","3.0","0.0","69.3","942.7","6.9","0.3","135.1"
"Jayden Reed","GB","WR32","11.3","96.6","1.8","60.1","744.7","6.5","0.4","133.3"
"Michael Pittman Jr.","IND","WR33","0.5","5.0","0.0","97.4","1,080.6","4.4","1.0","132.9"
"Gus Edwards","LAC","RB33","177.0","702.4","7.9","16.0","162.0","0.3","1.5","132.4"
"Javonte Williams","DEN","RB34","191.4","750.7","4.1","43.6","247.2","1.6","0.9","132.2"
"Chris Godwin","TB","WR34","3.5","25.8","0.6","79.6","949.6","5.2","0.3","131.9"
"Sam LaPorta","DET","TE3","0.0","0.0","0.0","84.0","852.2","7.8","0.1","131.8"
"Devin Singletary","NYG","RB35","192.3","835.3","4.8","33.2","197.1","0.3","0.9","131.8"
"Terry McLaurin","WAS","WR35","0.5","2.5","0.0","75.5","1,029.4","4.7","0.2","131.0"
"Ezekiel Elliott","DAL","RB36","175.5","656.4","5.7","35.1","235.6","1.5","0.9","130.6"
