"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",SF,"RB1","9","2 out of 5 stars","0"
"2",1,"CeeDee Lamb",DAL,"WR1","7","3 out of 5 stars","0"
"3",1,"Tyreek Hill",MIA,"WR2","6","2 out of 5 stars","0"
"4",1,"Ja'Marr Chase",CIN,"WR3","12","2 out of 5 stars","0"
"5",1,"Justin Jefferson",MIN,"WR4","6","3 out of 5 stars","0"
"6",1,"Breece Hall",NYJ,"RB2","12","2 out of 5 stars","0"
"7",2,"Amon-Ra St. Brown",DET,"WR5","5","4 out of 5 stars","0"
"8",2,"Bijan Robinson",ATL,"RB3","12","4 out of 5 stars","0"
"9",2,"A.J. Brown",PHI,"WR6","5","2 out of 5 stars","+1"
"10",2,"Garrett Wilson",NYJ,"WR7","12","4 out of 5 stars","+1"
"11",2,"Puka Nacua",LAR,"WR8","6","3 out of 5 stars","-2"
"12",2,"Jonathan Taylor",IND,"RB4","14","2 out of 5 stars","+1"
"13",2,"Jahmyr Gibbs",DET,"RB5","5","3 out of 5 stars","-1"
"14",2,"Saquon Barkley",PHI,"RB6","5","4 out of 5 stars","0"
"15",3,"Davante Adams",LV,"WR9","10","3 out of 5 stars","0"
"16",3,"Travis Etienne Jr.",JAC,"RB7","12","2 out of 5 stars","+9"
"17",3,"Brandon Aiyuk",SF,"WR10","9","2 out of 5 stars","+9"
"18",3,"Marvin Harrison Jr.",ARI,"WR11","11","3 out of 5 stars","-2"
"19",3,"Kyren Williams",LAR,"RB8","6","3 out of 5 stars","-1"
"20",3,"Chris Olave",NO,"WR12","12","3 out of 5 stars","-3"
"21",3,"Josh Allen",BUF,"QB1","12","1 out of 5 stars","+1"
"22",3,"Mike Evans",TB,"WR13","11","3 out of 5 stars","+7"
"23",3,"Drake London",ATL,"WR14","12","4 out of 5 stars","-4"
"24",3,"Derrick Henry",BAL,"RB9","14","3 out of 5 stars","+9"
"25",3,"Jalen Hurts",PHI,"QB2","5","2 out of 5 stars","+9"
"26",3,"Travis Kelce",KC,"TE1","6","3 out of 5 stars","+6"
"27",3,"Sam LaPorta",DET,"TE2","5","3 out of 5 stars","-4"
"28",3,"Deebo Samuel Sr.",SF,"WR15","9","2 out of 5 stars","-4"
"29",4,"DJ Moore",CHI,"WR16","7","4 out of 5 stars","-2"
"30",4,"Michael Pittman Jr.",IND,"WR17","14","4 out of 5 stars","-2"
"31",4,"Nico Collins",HOU,"WR18","14","3 out of 5 stars","-10"
"32",4,"Isiah Pacheco",KC,"RB10","6","3 out of 5 stars","+7"
"33",4,"Lamar Jackson",BAL,"QB3","14","4 out of 5 stars","+8"
"34",4,"Josh Jacobs",GB,"RB11","10","1 out of 5 stars","+3"
"35",4,"Patrick Mahomes II",KC,"QB4","6","3 out of 5 stars","+5"
"36",4,"Jaylen Waddle",MIA,"WR19","6","2 out of 5 stars","-5"
"37",4,"De'Von Achane",MIA,"RB12","6","3 out of 5 stars","-17"
"38",4,"DK Metcalf",SEA,"WR20","10","3 out of 5 stars","0"
"39",4,"Rachaad White",TB,"RB13","11","5 out of 5 stars","+3"
"40",4,"Cooper Kupp",LAR,"WR21","6","3 out of 5 stars","-5"
"41",4,"DeVonta Smith",PHI,"WR22","5","2 out of 5 stars","-5"
"42",4,"James Cook",BUF,"RB14","12","2 out of 5 stars","+2"
"43",4,"Stefon Diggs",HOU,"WR23","14","3 out of 5 stars","-13"
"44",5,"Amari Cooper",CLE,"WR24","10","3 out of 5 stars","+2"
"45",5,"Joe Mixon",HOU,"RB15","14","3 out of 5 stars","+7"
"46",5,"Kenneth Walker III",SEA,"RB16","10","4 out of 5 stars","+10"
"47",5,"C.J. Stroud",HOU,"QB5","14","2 out of 5 stars","+4"
"48",5,"Tee Higgins",CIN,"WR25","12","2 out of 5 stars","+7"
"49",5,"Anthony Richardson",IND,"QB6","14","5 out of 5 stars","+5"
"50",5,"Malik Nabers",NYG,"WR26","11","3 out of 5 stars","-3"
"51",5,"Alvin Kamara",NO,"RB17","12","5 out of 5 stars","+6"
"52",5,"Trey McBride",ARI,"TE3","11","5 out of 5 stars","-9"
"53",5,"Mark Andrews",BAL,"TE4","14","3 out of 5 stars","-5"
"54",5,"Zay Flowers",BAL,"WR27","14","3 out of 5 stars","-9"
"55",5,"George Pickens",PIT,"WR28","9","1 out of 5 stars","-2"
"56",5,"Tank Dell",HOU,"WR29","14","3 out of 5 stars","+2"
"57",5,"Aaron Jones",MIN,"RB18","6","3 out of 5 stars","+5"
"58",5,"Christian Kirk",JAC,"WR30","12","4 out of 5 stars","+1"
"59",5,"Keenan Allen",CHI,"WR31","7","4 out of 5 stars","-10"
"60",5,"Joe Burrow",CIN,"QB7","12","2 out of 5 stars","+12"
"61",5,"David Montgomery",DET,"RB19","5","3 out of 5 stars","+16"
"62",5,"Terry McLaurin",WAS,"WR32","14","3 out of 5 stars","-2"
"63",5,"Dak Prescott",DAL,"QB8","7","2 out of 5 stars","+7"
"64",6,"Kyler Murray",ARI,"QB9","11","2 out of 5 stars","+9"
"65",6,"Rhamondre Stevenson",NE,"RB20","14","2 out of 5 stars","+1"
"66",6,"James Conner",ARI,"RB21","11","2 out of 5 stars","+16"
"67",6,"D'Andre Swift",CHI,"RB22","7","2 out of 5 stars","+8"
"68",6,"Calvin Ridley",TEN,"WR33","5","4 out of 5 stars","-3"
"69",6,"Zamir White",LV,"RB23","10","3 out of 5 stars","+10"
"70",6,"Dalton Kincaid",BUF,"TE5","12","2 out of 5 stars","-20"
"71",6,"Najee Harris",PIT,"RB24","9","4 out of 5 stars","-4"
"72",6,"Jordan Love",GB,"QB10","10","5 out of 5 stars","+2"
"73",6,"Jayden Reed",GB,"WR34","10","4 out of 5 stars","-10"
"74",6,"Tony Pollard",TEN,"RB25","5","3 out of 5 stars","+15"
"75",6,"George Kittle",SF,"TE6","9","4 out of 5 stars","-4"
"76",6,"Chris Godwin",TB,"WR35","11","3 out of 5 stars","-12"
"77",6,"Raheem Mostert",MIA,"RB26","6","3 out of 5 stars","+14"
"78",6,"Rashee Rice",KC,"WR36","6","3 out of 5 stars","+2"
"79",6,"Brock Purdy",SF,"QB11","9","2 out of 5 stars","+17"
"80",6,"Hollywood Brown",KC,"WR37","6","3 out of 5 stars","-12"
"81",6,"Kyle Pitts",ATL,"TE7","12","3 out of 5 stars","-20"
"82",6,"Diontae Johnson",CAR,"WR38","11","5 out of 5 stars","-4"
"83",6,"Javonte Williams",DEN,"RB27","14","4 out of 5 stars","+3"
"84",6,"DeAndre Hopkins",TEN,"WR39","5","4 out of 5 stars","-8"
"85",6,"Jaylen Warren",PIT,"RB28","9","4 out of 5 stars","0"
"86",6,"Jordan Addison",MIN,"WR40","6","3 out of 5 stars","-5"
"87",6,"Evan Engram",JAC,"TE8","12","3 out of 5 stars","-18"
"88",7,"Brian Robinson Jr.",WAS,"RB29","14","3 out of 5 stars","+20"
"89",7,"Zack Moss",CIN,"RB30","12","3 out of 5 stars","-5"
"90",7,"Nick Chubb",CLE,"RB31","10","4 out of 5 stars","+23"
"91",7,"Tua Tagovailoa",MIA,"QB12","6","2 out of 5 stars","+19"
"92",7,"David Njoku",CLE,"TE9","10","3 out of 5 stars","+1"
"93",7,"Xavier Worthy",KC,"WR41","6","3 out of 5 stars","-10"
"94",7,"Devin Singletary",NYG,"RB32","11","3 out of 5 stars","+10"
"95",7,"Jaxon Smith-Njigba",SEA,"WR42","10","3 out of 5 stars","+3"
"96",7,"Jake Ferguson",DAL,"TE10","7","2 out of 5 stars","-8"
"97",7,"Caleb Williams",CHI,"QB13","7","4 out of 5 stars","+3"
"98",7,"Courtland Sutton",DEN,"WR43","14","2 out of 5 stars","+1"
"99",7,"Jared Goff",DET,"QB14","5","4 out of 5 stars","+4"
"100",7,"Rome Odunze",CHI,"WR44","7","4 out of 5 stars","-8"
"101",7,"Christian Watson",GB,"WR45","10","4 out of 5 stars","-14"
"102",7,"Austin Ekeler",WAS,"RB33","14","3 out of 5 stars","-7"
"103",7,"Tyjae Spears",TEN,"RB34","5","3 out of 5 stars","-1"
"104",7,"Justin Herbert",LAC,"QB15","5","2 out of 5 stars","+10"
"105",7,"Jayden Daniels",WAS,"QB16","14","3 out of 5 stars","+1"
