"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Jalen Hurts","PHIhigh","504.2","327.0","3,729.0","25.0","14.1","135.3","562.3","11.5","4.2","351.9"
"","high","513.0","334.0","3,832.0","29.0","11.2","146.0","588.0","13.0","4.0","406.0"
"Josh Allen","BUFhigh","528.4","345.6","3,783.4","27.0","14.2","109.4","564.0","9.3","4.0","349.3"
"","high","539.0","350.0","3,851.0","31.0","12.4","124.0","630.0","10.0","4.0","408.0"
"Patrick Mahomes II","KChigh","581.7","391.7","4,282.5","32.6","11.5","69.6","379.3","1.0","2.7","328.6"
"","high","614.0","420.0","4,535.0","33.2","10.9","77.0","422.0","1.0","2.0","375.0"
"Lamar Jackson","BALhigh","458.0","299.0","3,512.7","25.6","12.1","124.2","738.3","4.9","4.6","324.7"
"","high","459.0","299.1","3,640.0","29.0","11.2","124.5","741.0","5.7","4.3","365.0"
"Dak Prescott","DALhigh","563.8","381.5","4,161.2","30.3","13.6","53.4","229.0","2.0","2.7","303.7"
"","high","578.0","390.0","4,240.0","34.0","12.2","56.0","231.0","2.1","2.0","357.0"
"Joe Burrow","CINhigh","575.6","388.3","4,212.4","29.8","12.2","51.5","161.7","2.3","2.6","300.3"
"","high","597.0","408.0","4,305.0","33.0","11.4","53.0","173.3","2.5","2.0","352.0"
"C.J. Stroud","HOUhigh","535.1","347.2","4,132.0","28.9","9.9","42.8","171.8","2.8","4.0","296.6"
"","high","542.3","349.5","4,213.0","31.0","9.0","44.7","181.5","3.0","3.9","343.0"
"Jordan Love","GBhigh","516.3","336.1","3,821.2","30.6","11.8","47.9","197.5","2.8","3.0","294.0"
"","high","523.0","347.0","3,974.0","35.0","11.0","50.8","211.0","3.0","2.0","363.0"
"Anthony Richardson","INDhigh","498.5","316.6","3,493.3","19.8","11.4","117.7","538.4","6.9","5.5","292.0"
"","high","509.0","321.0","3,599.0","24.0","11.0","119.0","544.8","8.9","5.0","323.0"
"Kyler Murray","ARIhigh","534.9","357.7","3,590.6","22.7","12.8","85.3","462.2","4.6","2.3","291.1"
"","high","556.0","377.0","3,640.0","28.0","11.6","87.5","487.4","5.3","0.0","336.0"
"Brock Purdy","SFhigh","473.3","320.1","4,056.3","28.6","10.4","45.4","165.2","2.2","2.5","290.8"
"","high","475.7","322.0","4,211.0","33.0","10.0","46.8","173.4","2.3","2.0","351.0"
"Jayden Daniels","WAShigh","530.9","332.4","3,539.2","21.5","16.8","108.9","573.7","4.6","4.1","287.2"
"","high","549.0","344.0","3,616.0","27.0","13.7","112.0","584.3","5.1","4.0","323.0"
"Justin Herbert","LAChigh","534.1","348.6","3,794.1","26.5","9.4","62.3","263.1","2.7","2.5","286.2"
"","high","573.0","375.0","4,031.0","30.0","9.0","65.0","269.0","3.0","2.0","347.0"
"Trevor Lawrence","JAChigh","548.8","364.5","3,872.8","24.2","12.7","64.2","295.0","4.1","5.2","282.3"
"","high","562.0","381.0","3,990.0","28.0","12.5","70.0","309.0","5.0","4.5","334.0"
"Caleb Williams","CHIhigh","518.8","334.6","3,595.8","25.5","15.1","72.8","359.1","3.6","4.5","279.1"
"","high","526.0","338.0","3,654.0","28.0","13.2","84.0","407.0","4.0","3.9","317.0"
"Deshaun Watson","CLEhigh","535.9","327.2","3,823.7","23.8","14.8","69.5","349.5","2.3","4.2","273.7"
"","high","586.0","345.0","3,906.0","27.0","10.6","73.0","376.9","2.6","4.0","299.0"
"Kirk Cousins","ATLhigh","525.3","344.3","4,017.2","27.4","9.1","35.4","114.1","1.8","5.3","273.1"
"","high","535.6","346.5","4,042.0","30.0","7.0","38.0","117.2","2.0","4.5","323.0"
"Baker Mayfield","TBhigh","556.0","352.2","3,964.2","26.4","12.0","51.7","156.4","1.1","3.4","267.7"
"","high","572.0","362.0","4,023.0","29.0","12.0","52.0","161.9","1.3","3.0","308.0"
"Jared Goff","DEThigh","546.5","373.1","4,088.5","26.6","10.1","32.5","46.3","1.4","3.2","266.6"
"","high","573.0","397.0","4,423.0","30.0","10.0","32.9","51.7","1.8","3.0","330.0"
"Tua Tagovailoa","MIAhigh","523.6","357.2","4,165.1","25.9","13.0","37.0","103.6","0.5","4.2","262.2"
"","high","529.0","367.0","4,299.0","29.0","12.0","39.0","113.2","1.0","4.0","307.0"
"Aaron Rodgers","NYJhigh","538.6","352.4","3,761.6","25.8","9.5","31.1","92.1","2.0","2.5","260.2"
"","high","557.0","362.0","3,839.2","27.5","9.1","34.2","109.2","2.0","2.0","273.0"
"Matthew Stafford","LARhigh","545.8","349.2","4,101.3","25.6","13.2","25.3","66.0","0.5","1.7","259.0"
"","high","556.0","351.0","4,138.0","28.0","12.5","25.7","68.1","1.0","1.0","295.0"
"Geno Smith","SEAhigh","503.8","334.4","3,646.6","24.4","12.1","45.6","205.4","1.7","3.1","256.1"
"","high","524.0","348.0","3,755.0","29.0","10.2","48.1","225.8","2.0","3.0","302.0"
"Derek Carr","NOhigh","535.5","356.8","3,871.3","26.9","11.1","31.5","71.3","0.3","3.4","253.2"
"","high","549.0","368.0","3,926.0","32.0","11.0","32.0","83.6","0.5","3.0","316.0"
"Daniel Jones","NYGhigh","486.3","313.7","3,198.0","17.0","12.8","98.8","522.1","3.5","3.9","248.6"
"","high","490.6","316.3","3,260.1","20.0","10.7","106.0","558.0","4.0","3.0","273.0"
"Will Levis","TENhigh","498.3","318.1","3,578.1","19.8","13.9","49.0","171.7","2.0","4.8","227.9"
"","high","557.6","353.1","3,873.1","21.0","12.7","49.1","183.0","2.0","4.0","231.0"
"J.J. McCarthy","MINhigh","483.7","310.3","3,370.6","19.7","13.2","38.7","186.6","1.5","2.4","223.5"
"","high","514.5","325.6","3,514.1","20.0","13.0","45.3","196.1","2.1","1.0","228.0"
"Bryce Young","CARhigh","514.4","318.1","3,284.6","20.1","11.8","42.0","248.8","0.9","3.7","222.7"
"","high","517.0","325.3","3,524.2","20.1","11.6","45.9","267.5","1.0","3.0","226.0"
"Russell Wilson","PIThigh","414.8","261.8","2,877.2","16.9","9.6","64.5","283.0","3.5","3.7","215.2"
"","high","418.0","262.6","2,901.3","19.0","9.3","71.0","297.0","5.0","3.4","241.0"
"Bo Nix","DENhigh","443.0","278.9","2,908.9","18.7","11.4","48.2","202.7","1.4","3.3","201.7"
"","high","489.0","306.9","3,163.9","21.0","10.0","52.0","216.0","1.8","3.0","219.0"
"Drake Maye","NEhigh","421.9","268.5","2,737.2","14.8","13.7","52.2","241.8","1.8","2.5","184.7"
"","high","511.8","324.1","3,370.4","16.6","13.4","66.3","328.6","2.5","1.0","216.6"
"Gardner Minshew II","LVhigh","350.6","219.9","2,384.1","13.2","9.4","25.6","78.3","1.3","2.8","148.4"
"","high","389.0","241.0","2,613.0","17.0","6.7","27.2","99.5","1.5","2.6","178.0"
"Aidan O'Connell","LVhigh","204.7","129.2","1,399.3","7.3","5.2","16.1","41.2","0.7","1.4","85.0"
"","high","279.3","178.4","1,927.6","8.6","4.0","25.1","74.5","1.3","1.0","111.1"
"Taysom Hill","NOhigh","5.0","4.0","38.0","0.0","0.0","80.0","406.0","6.0","1.0","76.1"
"","high","5.0","4.0","38.0","0.0","0.0","80.0","406.0","6.0","1.0","109.0"
"Justin Fields","PIThigh","98.4","60.5","664.8","3.8","2.7","36.3","192.1","1.1","1.3","62.3"
"","high","123.8","77.0","846.6","4.5","2.0","38.5","216.1","1.2","1.0","71.7"
"Sam Darnold","MINhigh","128.8","81.9","881.6","5.5","3.5","9.6","28.0","0.3","0.6","57.0"
"","high","148.0","96.0","1,044.0","7.0","3.0","11.3","41.0","0.6","0.0","67.0"
"Jacoby Brissett","NEhigh","128.3","82.5","826.1","4.8","4.3","11.9","50.4","0.2","0.8","52.4"
"","high","188.0","121.0","1,201.0","7.0","1.5","16.0","69.0","0.4","0.6","67.0"
"Jarrett Stidham","DENhigh","101.1","63.9","681.6","4.3","3.0","12.7","47.2","0.2","0.9","45.3"
"","high","105.3","65.8","708.2","5.0","3.0","14.0","50.0","0.3","0.8","41.8"
"Sean Clifford","GBhigh","66.4","42.1","463.8","3.5","1.7","7.0","26.5","0.2","0.5","33.7"
"","high","66.4","42.1","463.8","3.5","1.7","7.0","26.5","0.2","0.5","32.5"
"Case Keenum","HOUhigh","71.7","44.5","474.4","3.7","1.8","5.9","19.4","0.2","0.6","33.7"
"","high","71.7","44.5","474.4","3.7","1.8","5.9","19.4","0.2","0.6","32.3"
"Hendon Hooker","DEThigh","68.2","44.3","463.0","2.9","1.7","6.1","25.7","0.3","0.5","31.9"
"","high","68.2","44.3","463.0","2.9","1.7","6.1","25.7","0.3","0.5","30.6"
"Sam Howell","SEAhigh","61.6","40.0","435.7","2.7","1.9","7.5","36.6","0.4","0.3","31.5"
"","high","102.2","66.1","718.5","4.3","1.0","11.0","57.2","0.7","0.0","50.2"
"Mason Rudolph","TENhigh","75.0","45.9","489.9","2.4","1.8","6.5","22.6","0.2","0.6","29.6"
